subject_id,subject_name,department_id,semester,credits
CS101,Programming in C,1,1,4
CS201,Data Structures,1,3,4
CS301,Database Management System,1,5,4
CS302,Operating Systems,1,5,4
CS401,Machine Learning,1,7,4
IT101,Programming Fundamentals,2,1,4
IT201,Computer Networks,2,3,4
IT301,Web Development,2,5,4
IT302,Cloud Computing,2,5,4
IT401,Information Security,2,7,4
EC101,Basic Electronics,3,1,4
EC201,Digital Electronics,3,3,4
EC301,Microprocessors,3,5,4
EC302,Communication Systems,3,5,4
EC401,Embedded Systems,3,7,4
ME101,Engineering Mechanics,4,1,4
ME201,Thermodynamics,4,3,4
ME301,Fluid Mechanics,4,5,4
ME302,Heat Transfer,4,5,4
ME401,Industrial Engineering,4,7,4
CE101,Engineering Drawing,5,1,4
CE201,Structural Analysis,5,3,4
CE301,Concrete Technology,5,5,4
CE302,Geotechnical Engineering,5,5,4
CE401,Transportation Engineering,5,7,4
EE101,Basic Electrical Engineering,6,1,4
EE201,Circuit Theory,6,3,4
EE301,Power Systems,6,5,4
EE302,Control Systems,6,5,4
EE401,Electrical Machines,6,7,4
DS101,Statistics,7,1,4
DS201,Python for Data Science,7,3,4
DS301,Data Visualization,7,5,4
DS302,Big Data Analytics,7,5,4
DS401,Advanced Machine Learning,7,7,4
AI101,Introduction to AI,8,1,4
AI201,Python Programming,8,3,4
AI301,Deep Learning,8,5,4
AI302,Natural Language Processing,8,5,4
AI401,Computer Vision,8,7,4
